МЕРОПРИЯТИЯ,,,
Тип и наименование мероприятия,Дата проведения,Организатор и место проведения,Дедлайн
XVI Никитинские чтения: Россия и Балканы: два века культурных связей (К 200-летию Матицы сербской),10–11 ноября 2026 г.,"ИСл РАН, г. Москва",1 сентября 2026 г.
Международная научная конференция «Искусство Руси и стран византийского мира второй половины XIV – первой половины XV века: взаимодействие и формирование локальных особенностей»,10–11 ноября 2026 г.,"ГИИ, г. Москва",10 сентября 2026 г.
IX Международная научная конференция молодых ученых «Пространство и время в русской литературе и философии. К 160-летию со дня рождения Вяч.И. Иванова и Л.И. Шестова»,10–11 ноября 2026 г.,"ИМЛИ РАН и другие, г. Москва",1 октября 2026 г.
Научная конференция «Диалогическая традиция литератур Востока и Запада»,10–12 ноября 2026 г.,"ИМЛИ РАН, СПбГУ, г. Москва",10 октября 2026 г.
Всероссийская научная конференция «Русская дорога XVI–XIX веков»,12–13 ноября 2026 г.,"СПбИИ РАН, г. Санкт-Петербург",1 сентября 2026 г.
Конференция «Русский символизм: лидеры и последователи. К юбилеям М.А. Врубеля и В.Э. Борисова-Мусатова»,16–17 ноября 2026 г.,"РАХ и НИИ РАХ, г. Москва",27 сентября 2026 г.
"Шестая всероссийская научная конференция «Торговля, купечество и таможенное дело в России в XVI – середине XIX в.»",17–19 ноября 2026 г.,"СПбИИ РАН, г. Екатеринбург",1 сентября 2026 г.
Всероссийская с международным участием научно-практическая конференция «ТВОРЧЕСТВО Н.С. ЛЕСКОВА В КОНТЕКСТЕ РУССКОЙ СЛОВЕСНОСТИ»,18 ноября 2026 г.,"Литературный институт им. А.М. Горького, г. Москва",12 октября 2026 г.
Научно-практический семинар «Звуковая материя рок-музыки: эстетика и технология»,20 ноября 2026 г.,"ГИИ, г. Москва",1 ноября 2026 г.
"Патрологическая конференция, посвященная 1200-летней годовщине со дня кончины прп. Феодора Студита",24 ноября 2026 г.,"Сретенская духовная академия, г. Москва",1 октября 2026 г.
"Круглый стол с международным участием «""Веков связующая нить"": традиции и новаторство в славянских литературах и культурах»",24 ноября 2026 г.,"ИСл РАН, г. Москва",1 ноября 2026 г.
Научные чтения «С.И. Танеев и его современники. К 170-летию со дня рождения композитора»,25–26 ноября 2026 г.,"ГИИ, г. Москва",10 сентября 2026 г.
X Всероссийская научно-практическая конференция «Человек в современных социально-философских концепциях»,27 ноября 2026 г.,"Елабужский институт КФУ, г. Елабуга",25 ноября 2026 г.
Конференция «Ландшафты памяти Северо-Западного региона — материальное измерение» ,27–28 ноября 2026 г.,"ЕУСПб, г. Санкт-Петербург",30 июня 2026 г.
Международная научная конференция «“Круг Мережковских” в движении времени»,3–4 декабря 2026 г.,"ИМЛИ РАН, Дом А.Ф. Лосева, г. Москва",1 ноября 2026 г.
"Всероссийская научная конференция «Соловецкий монастырь: история, материальное и культурное наследие»",Июнь 2027 г.,"ИЛИ РАН, г. Санкт-Петербург",31 декабря 2026 г.
